"","Country","Year","List","Sex","Frmat","Cause","A00","A1_4","A05","A10","A15","A20","A25","A30","A35","A40","A45","A50","A55","A60","A65","A70","A75","A80","A85ov","tot","unk","name"
"140","4007",2020,104,1,1,"covid19",0,0,0,0,0,0,4,3,11,20,40,72,157,264,351,346,201,361,169,1999,0,"Armenia"
"141","4007",2020,104,2,1,"covid19",0,0,0,0,1,1,2,4,9,12,31,54,119,212,240,245,148,280,184,1542,0,"Armenia"
"142","4007",2021,104,1,1,"covid19",0,0,0,0,0,1,5,8,15,33,44,78,167,311,427,449,301,476,283,2598,0,"Armenia"
"143","4007",2021,104,2,1,"covid19",0,0,0,0,0,2,6,6,9,27,43,103,181,297,442,515,287,508,370,2796,0,"Armenia"
"144","4007",2022,104,1,1,"covid19",1,0,0,0,1,0,0,1,2,5,8,14,23,29,70,78,53,111,95,491,0,"Armenia"
"145","4007",2022,104,2,1,"covid19",1,0,0,0,1,1,0,0,0,1,5,8,21,29,50,33,46,66,59,321,0,"Armenia"
"146","4008",2020,10,1,0,"covid19",0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,7,6,4,24,51,0,"Andorra"
"147","4008",2020,10,2,0,"covid19",0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,2,2,8,14,30,0,"Andorra"
"148","4010",2020,104,1,0,"covid19",0,0,0,0,2,2,2,6,10,14,20,86,150,248,420,692,1112,1546,2480,6790,0,"Austria"
"149","4010",2020,104,2,0,"covid19",0,0,0,0,0,0,2,0,2,4,18,34,58,126,160,394,642,1094,3634,6168,0,"Austria"
"150","4010",2021,104,1,0,"covid19",0,2,0,6,8,4,14,12,20,30,70,186,324,564,718,1000,1334,1734,2490,8516,0,"Austria"
"151","4010",2021,104,2,0,"covid19",0,0,0,0,0,0,6,10,10,14,42,68,140,218,352,556,884,1342,3562,7204,0,"Austria"
"152","4020",2020,104,1,0,"covid19",0,0,0,0,0,3,4,9,17,25,65,124,233,404,647,1070,1357,2159,4615,10732,0,"Belgium"
"153","4020",2020,104,2,0,"covid19",0,1,0,2,2,1,4,9,12,11,43,58,129,194,324,613,943,1922,7015,11283,0,"Belgium"
"154","4030",2020,104,1,0,"covid19",4,0,0,2,8,10,8,50,92,164,276,454,808,1274,1644,2028,1638,1206,902,10568,0,"Bulgaria"
"155","4030",2020,104,2,0,"covid19",0,0,0,2,6,2,12,18,28,84,136,202,380,706,918,1222,1124,942,758,6540,0,"Bulgaria"
"156","4030",2021,104,1,0,"covid19",1,0,0,1,5,12,37,71,123,244,412,633,842,1449,2115,2858,2512,1923,1493,14731,0,"Bulgaria"
"157","4030",2021,104,2,0,"covid19",2,2,2,3,6,15,20,37,57,119,196,329,555,1026,1646,2475,2464,2053,1850,12857,0,"Bulgaria"
"158","4038",2020,104,1,0,"covid19",0,1,0,0,0,1,1,3,7,9,19,71,117,191,308,431,448,476,507,2590,0,"Croatia"
"159","4038",2020,104,2,0,"covid19",0,0,0,0,1,1,2,1,4,5,22,13,35,74,125,196,297,421,691,1888,0,"Croatia"
"160","4038",2021,104,1,0,"covid19",1,0,0,1,0,6,6,9,17,31,57,130,235,372,578,791,712,826,909,4681,0,"Croatia"
"161","4038",2021,104,2,0,"covid19",2,1,0,0,3,3,3,7,10,17,32,44,100,190,288,436,549,869,1286,3840,0,"Croatia"
"162","4045",2020,104,1,0,"covid19",0,0,0,0,0,4,8,12,22,46,86,110,302,608,1104,2112,2444,2244,2774,11876,0,"Czech Republic"
"163","4045",2020,104,2,0,"covid19",0,0,0,0,0,0,6,6,14,30,46,74,146,206,452,1086,1532,1816,3788,9202,0,"Czech Republic"
"164","4045",2021,104,1,0,"covid19",2,2,0,2,4,2,28,50,86,174,394,630,1124,2170,3616,5624,5744,4254,4864,28770,0,"Czech Republic"
"165","4045",2021,104,2,0,"covid19",6,2,4,0,0,2,10,20,54,106,236,262,522,926,1882,3182,3818,3812,6466,21310,0,"Czech Republic"
"166","4050",2020,104,1,0,"covid19",0,0,0,0,0,0,0,0,1,1,0,10,11,20,41,83,121,143,192,623,0,"Denmark"
"167","4050",2020,104,2,0,"covid19",0,0,0,0,0,0,0,1,0,0,0,7,5,13,25,37,55,78,226,447,0,"Denmark"
"168","4055",2020,104,1,0,"covid19",0,0,0,0,0,0,0,0,0,1,0,1,5,4,10,14,13,21,27,96,0,"Estonia"
"169","4055",2020,104,2,0,"covid19",0,0,0,0,0,0,0,0,0,0,1,1,0,6,2,5,11,32,49,107,0,"Estonia"
"170","4055",2021,104,1,0,"covid19",0,0,0,0,0,0,0,2,4,7,11,14,38,69,101,144,121,172,204,887,0,"Estonia"
"171","4055",2021,104,2,0,"covid19",0,0,0,1,0,0,1,3,2,3,3,9,17,30,48,92,111,179,380,879,0,"Estonia"
"172","4055",2022,104,1,0,"covid19",0,0,1,0,0,1,1,1,1,2,6,8,11,22,34,50,58,94,149,439,0,"Estonia"
"173","4055",2022,104,2,0,"covid19",0,0,0,0,1,0,1,0,2,1,0,4,6,8,28,35,39,91,248,464,0,"Estonia"
"174","4070",2020,10,1,0,"covid19",0,0,0,0,0,1,0,1,5,0,3,6,11,10,16,30,49,61,89,282,0,"Finland"
"175","4070",2020,10,2,0,"covid19",0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,12,29,56,168,276,0,"Finland"
"176","4070",2021,10,1,2,"covid19",0,0,0,0,0,1,0,2,4,6,9,7,32,32,55,80,85,75,149,537,0,"Finland"
"177","4070",2021,10,2,2,"covid19",0,0,0,0,0,0,1,1,3,4,1,6,7,16,19,29,49,88,189,413,0,"Finland"
"178","4080",2020,104,1,2,"covid19",2,2,0,0,3,6,24,33,66,93,186,399,710,1322,2177,3485,4165,6309,15860,34842,0,"France"
"179","4080",2020,104,2,2,"covid19",1,0,0,1,4,5,9,17,31,50,113,196,325,600,900,1543,2184,4597,23413,33989,0,"France"
"180","4084",2020,104,1,0,"covid19",0,0,0,0,1,0,2,2,9,18,31,57,110,179,280,250,172,224,123,1458,0,"Georgia"
"181","4084",2020,104,2,0,"covid19",1,0,0,0,2,2,0,3,5,18,21,32,76,118,138,182,156,229,146,1129,0,"Georgia"
"182","4084",2021,104,1,0,"covid19",6,0,1,0,3,5,9,17,33,69,107,182,387,547,761,896,671,927,595,5216,0,"Georgia"
"183","4084",2021,104,2,0,"covid19",3,0,1,0,0,7,4,17,38,50,85,182,348,612,804,966,779,1211,963,6070,0,"Georgia"
"184","4084",2022,104,1,2,"covid19",1,0,1,3,4,1,4,10,12,20,0,36,54,105,183,197,169,296,220,1316,0,"Georgia"
"185","4084",2022,104,2,2,"covid19",1,0,0,0,1,0,2,3,10,9,0,32,54,90,140,203,157,312,302,1316,0,"Georgia"
"186","4085",2020,104,1,1,"covid19",0,0,0,0,0,1,11,15,34,46,117,232,486,812,1267,1820,3236,5342,7521,20940,0,"Germany"
"187","4085",2020,104,2,1,"covid19",0,2,1,0,1,2,7,5,8,23,45,94,174,340,511,843,1842,4116,10804,18818,0,"Germany"
"188","4085",2021,10,1,1,"covid19",1,4,1,3,1,17,37,79,143,218,384,830,1557,2330,3230,4230,5581,8936,11586,39168,0,"Germany"
"189","4085",2021,10,2,1,"covid19",0,2,2,5,6,8,26,48,54,92,186,369,589,920,1517,2175,3420,6960,15784,32163,0,"Germany"
"190","4140",2020,104,1,0,"covid19",0,0,0,0,0,4,8,16,38,26,88,200,244,436,654,804,822,1086,1484,5910,0,"Greece"
"191","4140",2020,104,2,0,"covid19",0,0,0,0,0,0,2,6,12,26,36,78,96,142,280,408,516,966,1578,4146,0,"Greece"
"192","4150",2020,104,1,0,"covid19",0,0,0,0,3,5,11,12,17,43,87,116,200,446,718,739,774,683,760,4614,0,"Hungary"
"193","4150",2020,104,2,0,"covid19",0,0,0,0,0,2,0,9,16,17,33,68,99,176,346,489,702,888,1520,4365,0,"Hungary"
"194","4150",2021,104,1,0,"covid19",6,1,1,0,7,19,40,77,115,257,454,702,905,1459,1960,1954,1929,1473,1435,12794,0,"Hungary"
"195","4150",2021,104,2,0,"covid19",1,2,0,1,6,12,38,41,68,124,220,313,496,841,1325,1653,1823,2160,2826,11950,0,"Hungary"
"196","4150",2022,104,1,0,"covid19",0,2,0,0,0,3,8,14,18,40,56,117,178,245,428,528,582,636,780,3635,0,"Hungary"
"197","4150",2022,104,2,0,"covid19",0,0,0,1,0,3,4,12,10,12,23,49,90,167,301,387,510,757,1426,3752,0,"Hungary"
"198","4160",2020,104,1,0,"covid19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,8,16,0,"Iceland"
"199","4160",2020,104,2,0,"covid19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,8,14,0,"Iceland"
"200","4160",2021,104,1,0,"covid19",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,5,0,"Iceland"
"201","4160",2021,104,2,0,"covid19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"Iceland"
"202","4160",2022,104,1,0,"covid19",0,0,0,0,0,1,0,0,0,0,0,0,1,2,3,10,20,14,53,104,0,"Iceland"
"203","4160",2022,104,2,0,"covid19",0,1,0,0,0,0,0,0,1,0,0,1,0,1,5,7,11,9,73,109,0,"Iceland"
"204","4180",2020,104,1,0,"covid19",0,0,0,1,2,5,18,28,51,139,297,627,1221,2123,3345,5694,7163,9587,13857,44158,0,"Italy"
"205","4180",2020,104,2,0,"covid19",0,0,1,1,1,5,7,16,34,60,119,244,375,683,1123,2282,3551,6337,19669,34508,0,"Italy"
"206","4182",2020,104,1,0,"covid19",2,1,0,0,1,0,9,18,20,31,64,101,189,275,302,277,175,174,97,1736,0,"Kazakhstan"
"207","4182",2020,104,2,0,"covid19",2,0,0,0,1,5,14,19,23,18,32,73,146,197,239,253,139,210,87,1458,0,"Kazakhstan"
"208","4182",2021,104,1,0,"covid19",6,1,1,1,1,10,30,75,123,189,250,403,606,983,1197,1237,598,724,263,6698,0,"Kazakhstan"
"209","4182",2021,104,2,0,"covid19",4,1,1,1,7,13,41,76,104,132,223,362,615,1159,1424,1568,779,1087,507,8104,0,"Kazakhstan"
"210","4186",2020,104,1,0,"covid19",0,0,0,0,0,0,1,0,0,5,14,14,28,41,33,64,58,57,53,368,0,"Latvia"
"211","4186",2020,104,2,0,"covid19",0,0,0,0,0,0,1,1,1,0,3,5,8,11,21,30,58,81,112,332,0,"Latvia"
"212","4186",2021,104,1,0,"covid19",0,0,0,0,2,2,7,5,12,25,46,82,129,175,253,308,285,353,322,2006,0,"Latvia"
"213","4186",2021,104,2,0,"covid19",0,0,0,0,1,1,1,3,3,9,27,42,73,167,195,265,331,522,705,2345,0,"Latvia"
"214","4188",2020,104,1,0,"covid19",0,0,0,0,0,0,1,1,8,5,16,39,84,114,136,168,209,206,202,1189,0,"Lithuania"
"215","4188",2020,104,2,0,"covid19",0,0,0,0,0,1,0,0,3,4,7,21,45,52,62,77,161,241,403,1077,0,"Lithuania"
"216","4188",2021,104,1,0,"covid19",0,1,0,0,1,3,6,15,23,39,89,117,205,305,372,425,488,530,666,3285,0,"Lithuania"
"217","4188",2021,104,2,0,"covid19",0,0,0,0,1,3,10,9,13,26,46,86,119,200,244,378,569,725,1304,3733,0,"Lithuania"
"218","4188",2022,104,1,0,"covid19",1,0,0,0,0,0,2,6,5,13,15,22,41,83,104,168,198,246,356,1260,0,"Lithuania"
"219","4188",2022,104,2,0,"covid19",0,0,0,0,2,1,1,3,3,4,11,10,16,39,66,101,164,262,663,1346,0,"Lithuania"
"220","4190",2020,104,1,0,"covid19",0,0,0,0,0,0,0,0,1,0,2,3,8,9,17,29,35,47,107,258,0,"Luxembourg"
"221","4190",2020,104,2,0,"covid19",0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,12,21,44,123,212,0,"Luxembourg"
"222","4190",2021,104,1,0,"covid19",0,0,0,0,0,0,0,0,1,3,3,9,8,16,16,31,30,32,76,225,0,"Luxembourg"
"223","4190",2021,104,2,0,"covid19",0,0,0,0,0,0,2,0,0,1,1,2,2,2,17,13,11,30,117,198,0,"Luxembourg"
"224","4190",2022,104,1,0,"covid19",0,0,0,0,0,0,0,0,0,0,1,0,4,7,11,9,19,24,53,128,0,"Luxembourg"
"225","4190",2022,104,2,0,"covid19",0,0,0,0,0,0,0,0,0,0,1,2,2,1,5,4,6,16,54,91,0,"Luxembourg"
"226","4200",2020,104,1,0,"covid19",0,0,0,0,0,0,0,0,0,0,1,2,2,4,11,22,25,30,32,129,0,"Malta"
"227","4200",2020,104,2,0,"covid19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,9,11,34,62,0,"Malta"
"228","4210",2020,104,1,0,"covid19",1,0,0,0,2,1,6,4,15,22,38,87,176,340,583,1189,1871,2382,4064,10781,0,"Netherlands"
"229","4210",2020,104,2,0,"covid19",0,0,0,0,0,0,1,2,10,8,31,51,93,166,326,648,1075,1721,5260,9392,0,"Netherlands"
"230","4210",2021,104,1,0,"covid19",0,0,1,1,3,2,5,11,7,24,59,144,230,415,755,1356,1899,2206,3674,10792,0,"Netherlands"
"231","4210",2021,104,2,0,"covid19",0,1,0,0,1,2,5,8,10,21,22,64,134,269,443,744,1062,1551,4479,8816,0,"Netherlands"
"232","4210",2022,104,1,0,"covid19",0,1,0,0,3,0,7,3,9,14,21,49,80,125,248,466,752,938,1808,4524,0,"Netherlands"
"233","4210",2022,104,2,0,"covid19",1,3,0,0,1,1,2,2,5,8,10,33,57,93,157,251,423,626,2070,3743,0,"Netherlands"
"234","4220",2020,10,1,0,"covid19",0,0,0,0,0,0,0,0,0,1,3,2,8,17,13,20,39,36,75,214,0,"Norway"
"235","4220",2020,10,2,0,"covid19",0,0,0,0,1,0,0,0,0,0,2,1,0,4,9,9,16,29,125,196,0,"Norway"
"236","4230",2020,104,1,0,"covid19",3,0,1,0,6,14,31,66,143,225,358,602,1128,2228,3350,4068,3360,3921,4462,23966,0,"Poland"
"237","4230",2020,104,2,0,"covid19",1,0,2,0,3,10,20,28,74,90,145,265,499,888,1612,2293,2354,3312,5889,17485,0,"Poland"
"238","4230",2021,104,1,0,"covid19",5,4,2,6,13,30,105,186,385,627,945,1369,2213,4523,7742,8414,6670,6477,8558,48274,0,"Poland"
"239","4230",2021,104,2,0,"covid19",3,5,3,1,6,31,57,104,164,274,476,582,1136,2608,4466,5769,5421,7091,13655,41852,0,"Poland"
"240","4274",2020,104,1,0,"covid19",0,0,0,0,0,0,4,5,13,14,30,40,102,164,291,345,319,313,304,1944,0,"Slovakia"
"241","4274",2020,104,2,0,"covid19",0,0,0,0,2,0,0,3,2,7,9,30,46,91,128,232,301,403,525,1779,0,"Slovakia"
"242","4274",2021,104,1,0,"covid19",2,1,1,0,5,4,13,29,53,101,181,239,501,876,1208,1396,1172,934,837,7553,0,"Slovakia"
"243","4274",2021,104,2,0,"covid19",1,2,0,0,0,4,9,12,20,46,84,153,273,519,760,1018,1120,1229,1478,6728,0,"Slovakia"
"244","4275",2020,10,1,0,"covid19",0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,4,7,11,10,40,0,"San Marino"
"245","4275",2020,10,2,0,"covid19",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,3,11,19,0,"San Marino"
"246","4275",2021,10,1,0,"covid19",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,4,3,11,22,0,"San Marino"
"247","4275",2021,10,2,0,"covid19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,15,19,0,"San Marino"
"248","4275",2022,10,1,0,"covid19",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,3,4,11,0,"San Marino"
"249","4275",2022,10,2,0,"covid19",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,9,11,0,"San Marino"
"250","4280",2020,104,1,0,"covid19",2,2,4,2,10,16,64,40,134,250,538,1082,1832,3366,4884,7698,11224,14298,32388,77834,0,"Spain"
"251","4280",2020,104,2,0,"covid19",6,0,0,4,8,14,30,52,72,114,264,430,846,1280,1932,3624,6206,10966,45996,71844,0,"Spain"
"252","4280",2021,104,1,0,"covid19",2,0,6,2,8,20,36,82,100,264,444,900,1534,2692,3972,5236,6656,7650,15912,45516,0,"Spain"
"253","4280",2021,104,2,0,"covid19",2,0,2,0,8,12,28,44,76,110,210,380,666,1044,1572,2310,3534,5556,19008,34562,0,"Spain"
"254","4290",2020,104,1,0,"covid19",1,1,0,2,1,2,4,8,6,9,31,57,109,140,271,511,739,1071,2162,5126,1,"Sweden"
"255","4290",2020,104,2,0,"covid19",0,2,0,0,1,2,3,5,3,7,11,18,31,57,99,246,471,766,2681,4403,0,"Sweden"
"256","4290",2020,104,9,0,"covid19",0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,3,3,5,1,18,0,"Sweden"
"257","4290",2021,104,1,0,"covid19",1,1,0,0,1,2,3,6,6,10,23,57,104,166,235,385,545,550,1011,3106,0,"Sweden"
"258","4290",2021,104,2,0,"covid19",0,1,0,0,0,0,1,1,9,9,11,28,35,57,99,186,284,388,1104,2213,0,"Sweden"
"259","4290",2022,104,1,0,"covid19",1,1,1,0,0,1,0,4,5,3,8,13,30,55,75,182,308,436,926,2049,0,"Sweden"
"260","4290",2022,104,2,0,"covid19",1,3,0,2,0,0,1,1,2,3,7,8,15,25,49,88,179,234,865,1483,0,"Sweden"
"261","4300",2020,104,1,0,"covid19",1,1,0,0,0,0,1,3,2,4,11,26,64,113,244,452,721,982,2277,4902,0,"Switzerland"
"262","4300",2020,104,2,0,"covid19",0,0,0,0,0,0,0,1,2,2,7,13,15,46,81,214,412,732,2867,4392,0,"Switzerland"
"263","4300",2021,104,1,0,"covid19",0,0,0,0,0,1,2,0,6,8,22,43,84,140,216,327,461,601,1245,3156,0,"Switzerland"
"264","4300",2021,104,2,0,"covid19",0,0,0,0,1,0,1,1,4,8,17,19,47,55,101,140,236,473,1698,2801,0,"Switzerland"
"265","4308",2020,104,1,0,"covid19",0,0,0,3,6,16,44,68,105,210,420,803,1378,2149,2964,4893,6843,8988,15946,44836,0,"United Kingdom"
"266","4308",2020,104,2,0,"covid19",0,0,1,1,5,13,25,50,83,141,259,465,730,1086,1546,2724,4266,6570,18553,36518,0,"United Kingdom"
"267","4310",2020,104,1,0,"covid19",0,0,0,3,5,16,44,66,97,197,386,721,1273,1962,2716,4448,6224,8152,14629,40939,0,NA
"268","4310",2020,104,2,0,"covid19",0,0,1,1,5,12,25,46,76,131,233,422,662,989,1409,2420,3820,5886,16604,32742,0,NA
"269","4320",2020,104,1,0,"covid19",0,0,0,0,1,0,0,0,1,3,4,13,18,31,49,87,125,173,291,796,0,NA
"270","4320",2020,104,2,0,"covid19",0,0,0,0,0,0,0,1,2,2,1,10,16,23,29,64,98,151,432,829,0,NA
"271","4320",2021,104,1,0,"covid19",0,0,0,0,1,1,0,1,5,8,13,24,33,55,88,108,192,202,309,1040,0,NA
"272","4320",2021,104,2,0,"covid19",0,0,0,0,0,0,1,1,4,9,8,18,21,42,36,70,106,127,366,809,0,NA
"273","4330",2020,104,1,0,"covid19",0,0,0,0,0,0,0,2,7,10,30,69,87,156,199,358,494,663,1026,3101,0,NA
"274","4330",2020,104,2,0,"covid19",0,0,0,0,0,1,0,3,5,8,25,33,52,74,108,240,348,533,1517,2947,0,NA
"275","4330",2021,104,1,0,"covid19",0,0,0,0,0,2,4,10,18,24,33,76,113,200,233,355,363,420,716,2567,0,NA
"276","4330",2021,104,2,0,"covid19",0,0,0,1,2,0,4,2,11,19,39,54,83,131,139,244,266,355,916,2266,0,NA
"277","5020",2020,104,1,0,"covid19",0,0,0,0,0,0,0,1,0,1,2,2,9,10,16,43,58,74,223,439,0,"Australia"
"278","5020",2020,104,2,0,"covid19",0,0,0,0,0,0,0,0,0,0,0,1,5,8,7,19,32,85,304,461,0,"Australia"
"279","5020",2021,104,1,0,"covid19",0,0,0,0,1,2,2,3,4,5,17,23,35,42,73,69,93,115,176,660,0,"Australia"
"280","5020",2021,104,2,0,"covid19",0,0,0,0,0,1,2,4,3,3,10,14,21,20,31,57,57,63,176,462,0,"Australia"
"281","5020",2022,104,1,0,"covid19",2,3,0,1,4,5,5,13,16,24,32,74,94,140,278,491,747,987,2567,5483,0,"Australia"
"282","5020",2022,104,2,0,"covid19",2,5,1,1,0,2,7,3,11,9,28,42,56,89,162,261,386,605,2703,4373,0,"Australia"
"283","5108",2022,104,1,3,"covid19",1,0,0,0,0,0,0,0,0,1,1,0,1,1,5,3,2,0,0,15,0,"Micronesia (Federated States of)"
"284","5108",2022,104,2,3,"covid19",0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,0,0,7,0,"Micronesia (Federated States of)"
