"iso_alpha_3_code","m49","who_code","region_for_model","region_for_model_ssh","name_short_en","name_short_es","name_short_fr","who_legal_status","grp_who_region","sdg1","sdg2","sdg3","who_memberstate"
"LUX",442,"4190","Developed regions","Other","Luxembourg","Luxemburgo","Luxembourg","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Western Europe (M49)","yes"
"MDG",450,"1260","Eastern Africa","Sub-Saharan Africa","Madagascar","Madagascar","Madagascar","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Eastern Africa (M49)","yes"
"MWI",454,"1270","Eastern Africa","Sub-Saharan Africa","Malawi","Malawi","Malawi","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Eastern Africa (M49)","yes"
"MYS",458,"3236","South-Eastern Asia / Oceania","South-eastern Asia","Malaysia","Malasia","Malaisie","M","WPR","Eastern Asia (M49) and South-eastern Asia (MDG=M49)","South-eastern Asia (MDG=M49)","South-eastern Asia (MDG=M49)","yes"
"MDV",462,"3255","Southern Asia","Southern Asia","Maldives","Maldivas","Maldives","M","SEAR","Central Asia (M49) and Southern Asia (MDG=M49)","Southern Asia (MDG=M49)","Southern Asia (MDG=M49)","yes"
"MLI",466,"1280","Western Africa","Sub-Saharan Africa","Mali","Malí","Mali","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Western Africa (M49)","yes"
"MLT",470,"4200","Developed regions","Other","Malta","Malta","Malte","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Southern Europe (M49)","yes"
"MHL",584,"5107","South-Eastern Asia / Oceania","Oceania","Marshall Islands","Islas Marshall","Îles Marshall","M","WPR","Oceania (MDG) / Oceania (M49) excluding Australia and New Zealand (M49)","Oceania (M49)","Micronesia (M49)","yes"
"MRT",478,"1290","Western Africa","Sub-Saharan Africa","Mauritania","Mauritania","Mauritanie","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Western Africa (M49)","yes"
"MUS",480,"1300","Eastern Africa","Sub-Saharan Africa","Mauritius","Mauricio","Maurice","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Eastern Africa (M49)","yes"
"MEX",484,"2310","Central America","Latin America","Mexico","México","Mexique","M","AMR","Latin America & the Caribbean (MDG=M49)","Latin America & the Caribbean (MDG=M49)","Central America (M49)","yes"
"FSM",583,"5108","South-Eastern Asia / Oceania","Oceania","Micronesia (Federated States of)","Micronesia (Estados Federados de)","Micronésie (États fédérés de)","M","WPR","Oceania (MDG) / Oceania (M49) excluding Australia and New Zealand (M49)","Oceania (M49)","Micronesia (M49)","yes"
"MCO",492,"4205","Developed regions","Other","Monaco","Mónaco","Monaco","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Western Europe (M49)","yes"
"MNG",496,"3260","Eastern Asia","Eastern Asia","Mongolia","Mongolia","Mongolie","M","WPR","Eastern Asia (M49) and South-eastern Asia (MDG=M49)","Eastern Asia (M49)","Eastern Asia (M49)","yes"
"MNE",499,"4207","Transition countries of South-Eastern Europe","Other","Montenegro","Montenegro","Monténégro","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Southern Europe (M49)","yes"
"MAR",504,"1310","Northern Africa","Northern Africa","Morocco","Marruecos","Maroc","M","EMR","Western Asia (M49) and Northern Africa (M49)","Northern Africa (M49)","Northern Africa (M49)","yes"
"MOZ",508,"1320","Eastern Africa","Sub-Saharan Africa","Mozambique","Mozambique","Mozambique","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Eastern Africa (M49)","yes"
"MMR",104,"3270","South-Eastern Asia / Oceania","South-eastern Asia","Myanmar","Myanmar","Myanmar","M","SEAR","Eastern Asia (M49) and South-eastern Asia (MDG=M49)","South-eastern Asia (MDG=M49)","South-eastern Asia (MDG=M49)","yes"
"NAM",516,"1325","Southern Africa","Sub-Saharan Africa","Namibia","Namibia","Namibie","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Southern Africa (M49)","yes"
"NRU",520,"5110","South-Eastern Asia / Oceania","Oceania","Nauru","Nauru","Nauru","M","WPR","Oceania (MDG) / Oceania (M49) excluding Australia and New Zealand (M49)","Oceania (M49)","Micronesia (M49)","yes"
"NPL",524,"3280","Southern Asia","Southern Asia","Nepal","Nepal","Népal","M","SEAR","Central Asia (M49) and Southern Asia (MDG=M49)","Southern Asia (MDG=M49)","Southern Asia (MDG=M49)","yes"
"NLD",528,"4210","Developed regions","Other","Netherlands (Kingdom of  the)","Países Bajos (Reino de los)","Pays-Bas (Royaume des)","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Western Europe (M49)","yes"
"NZL",554,"5150","Developed regions","Other","New Zealand","Nueva Zelandia","Nouvelle-Zélande","M","WPR","Australia and New Zealand (M49)","Oceania (M49)","Australia and New Zealand (M49)","yes"
"NIC",558,"2340","Central America","Latin America","Nicaragua","Nicaragua","Nicaragua","M","AMR","Latin America & the Caribbean (MDG=M49)","Latin America & the Caribbean (MDG=M49)","Central America (M49)","yes"
"NER",562,"1330","Western Africa","Sub-Saharan Africa","Niger","Níger","Niger","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Western Africa (M49)","yes"
"NGA",566,"1340","Western Africa","Sub-Saharan Africa","Nigeria","Nigeria","Nigéria","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Western Africa (M49)","yes"
"NOR",578,"4220","Developed regions","Other","Norway","Noruega","Norvège","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Northern Europe (M49)","yes"
"PSE",275,"9018","Western Asia","Western Asia","occupied Palestinian territory, including east Jerusalem","Territorio Palestino Ocupado, incluida Jerusalén Oriental","Territoire palestinien occupé, y compris Jérusalem-Est","T","EMR","Western Asia (M49) and Northern Africa (M49)","Western Asia (M49)","Western Asia (M49)","no"
"OMN",512,"3285","Western Asia","Western Asia","Oman","Omán","Oman","M","EMR","Western Asia (M49) and Northern Africa (M49)","Western Asia (M49)","Western Asia (M49)","yes"
"PAK",586,"3290","Southern Asia","Southern Asia","Pakistan","Pakistán","Pakistan","M","EMR","Central Asia (M49) and Southern Asia (MDG=M49)","Southern Asia (MDG=M49)","Southern Asia (MDG=M49)","yes"
"PLW",585,"5180","South-Eastern Asia / Oceania","Oceania","Palau","Palau","Palaos","M","WPR","Oceania (MDG) / Oceania (M49) excluding Australia and New Zealand (M49)","Oceania (M49)","Micronesia (M49)","yes"
"PAN",591,"2350","Central America","Latin America","Panama","Panamá","Panama","M","AMR","Latin America & the Caribbean (MDG=M49)","Latin America & the Caribbean (MDG=M49)","Central America (M49)","yes"
"PNG",598,"5195","South-Eastern Asia / Oceania","Oceania","Papua New Guinea","Papua Nueva Guinea","Papouasie-Nouvelle-Guinée","M","WPR","Oceania (MDG) / Oceania (M49) excluding Australia and New Zealand (M49)","Oceania (M49)","Melanesia (M49)","yes"
"PRY",600,"2360","South America","Latin America","Paraguay","Paraguay","Paraguay","M","AMR","Latin America & the Caribbean (MDG=M49)","Latin America & the Caribbean (MDG=M49)","South America (M49)","yes"
"PER",604,"2370","South America","Latin America","Peru","Perú","Pérou","M","AMR","Latin America & the Caribbean (MDG=M49)","Latin America & the Caribbean (MDG=M49)","South America (M49)","yes"
"PHL",608,"3300","South-Eastern Asia / Oceania","South-eastern Asia","Philippines","Filipinas","Philippines","M","WPR","Eastern Asia (M49) and South-eastern Asia (MDG=M49)","South-eastern Asia (MDG=M49)","South-eastern Asia (MDG=M49)","yes"
"POL",616,"4230","Developed regions","Other","Poland","Polonia","Pologne","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Eastern Europe (M49)","yes"
"PRT",620,"4240","Developed regions","Other","Portugal","Portugal","Portugal","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Southern Europe (M49)","yes"
"PRI",630,"2380","Caribbean","Caribbean","Puerto Rico","Puerto Rico","Porto Rico","A","AMR","Latin America & the Caribbean (MDG=M49)","Latin America & the Caribbean (MDG=M49)","Caribbean (M49)","no"
"QAT",634,"3320","Western Asia","Western Asia","Qatar","Qatar","Qatar","M","EMR","Western Asia (M49) and Northern Africa (M49)","Western Asia (M49)","Western Asia (M49)","yes"
"KOR",410,"3325","Eastern Asia","Eastern Asia","Republic of Korea","República de Corea","République de Corée","M","WPR","Eastern Asia (M49) and South-eastern Asia (MDG=M49)","Eastern Asia (M49)","Eastern Asia (M49)","yes"
"MDA",498,"4260","Developed regions","Other","Republic of Moldova","la República de Moldova","République de Moldova","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Eastern Europe (M49)","yes"
"ROU",642,"4270","Developed regions","Other","Romania","Rumania","Roumanie","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Eastern Europe (M49)","yes"
"RUS",643,"4272","Developed regions","Other","Russian Federation","Federación de Rusia","Fédération de Russie","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Eastern Europe (M49)","yes"
"RWA",646,"1370","Eastern Africa","Sub-Saharan Africa","Rwanda","Rwanda","Rwanda","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Eastern Africa (M49)","yes"
"KNA",659,"2385","Caribbean","Caribbean","Saint Kitts and Nevis","Saint Kitts y Nevis","Saint-Kitts-et-Nevis","M","AMR","Latin America & the Caribbean (MDG=M49)","Latin America & the Caribbean (MDG=M49)","Caribbean (M49)","yes"
"LCA",662,"2400","Caribbean","Caribbean","Saint Lucia","Santa Lucía","Sainte-Lucie","M","AMR","Latin America & the Caribbean (MDG=M49)","Latin America & the Caribbean (MDG=M49)","Caribbean (M49)","yes"
"WSM",882,"5197","South-Eastern Asia / Oceania","Oceania","Samoa","Samoa","Samoa","M","WPR","Oceania (MDG) / Oceania (M49) excluding Australia and New Zealand (M49)","Oceania (M49)","Polynesia (M49)","yes"
"SMR",674,"4275","Developed regions","Other","San Marino","San Marino","Saint-Marin","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Southern Europe (M49)","yes"
"STP",678,"1385","Middle Africa","Sub-Saharan Africa","Sao Tome and Principe","Santo Tomé y Príncipe","Sao Tomé-et-Principe","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Middle Africa (M49)","yes"
"SAU",682,"3340","Western Asia","Western Asia","Saudi Arabia","Arabia Saudita","Arabie saoudite","M","EMR","Western Asia (M49) and Northern Africa (M49)","Western Asia (M49)","Western Asia (M49)","yes"
"SEN",686,"1390","Western Africa","Sub-Saharan Africa","Senegal","Senegal","Sénégal","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Western Africa (M49)","yes"
"SRB",688,"4273","Transition countries of South-Eastern Europe","Other","Serbia","Serbia","Serbie","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Southern Europe (M49)","yes"
"SYC",690,"1400","Eastern Africa","Sub-Saharan Africa","Seychelles","Seychelles","Seychelles","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Eastern Africa (M49)","yes"
"SLE",694,"1410","Western Africa","Sub-Saharan Africa","Sierra Leone","Sierra Leona","Sierra Leone","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Western Africa (M49)","yes"
"SGP",702,"3350","South-Eastern Asia / Oceania","South-eastern Asia","Singapore","Singapur","Singapour","M","WPR","Eastern Asia (M49) and South-eastern Asia (MDG=M49)","South-eastern Asia (MDG=M49)","South-eastern Asia (MDG=M49)","yes"
"SVK",703,"4274","Developed regions","Other","Slovakia","Eslovaquia","Slovaquie","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Eastern Europe (M49)","yes"
"SVN",705,"4276","Developed regions","Other","Slovenia","Eslovenia","Slovénie","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Southern Europe (M49)","yes"
"SLB",90,"5198","South-Eastern Asia / Oceania","Oceania","Solomon Islands","Islas Salomón","Îles Salomon","M","WPR","Oceania (MDG) / Oceania (M49) excluding Australia and New Zealand (M49)","Oceania (M49)","Melanesia (M49)","yes"
"SOM",706,"1420","Eastern Africa","Sub-Saharan Africa","Somalia","Somalia","Somalie","M","EMR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Eastern Africa (M49)","yes"
"ZAF",710,"1430","Southern Africa","Sub-Saharan Africa","South Africa","Sudáfrica","Afrique du Sud","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Southern Africa (M49)","yes"
"SSD",728,"1460","Eastern Africa","Sub-Saharan Africa","South Sudan","Sudán del Sur","Soudan du Sud","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Eastern Africa (M49)","yes"
"ESP",724,"4280","Developed regions","Other","Spain","España","Espagne","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Southern Europe (M49)","yes"
"LKA",144,"3365","Southern Asia","Southern Asia","Sri Lanka","Sri Lanka","Sri Lanka","M","SEAR","Central Asia (M49) and Southern Asia (MDG=M49)","Southern Asia (MDG=M49)","Southern Asia (MDG=M49)","yes"
"VCT",670,"2420","Caribbean","Caribbean","Saint Vincent and the Grenadines","San Vicente y las Granadinas","Saint-Vincent-et-les Grenadines","M","AMR","Latin America & the Caribbean (MDG=M49)","Latin America & the Caribbean (MDG=M49)","Caribbean (M49)","yes"
"SDN",729,"1465","Eastern Africa","Sub-Saharan Africa","Sudan","Sudán","Soudan","M","EMR","Western Asia (M49) and Northern Africa (M49)","Northern Africa (M49)","Northern Africa (M49)","yes"
"SUR",740,"2430","South America","Latin America","Suriname","Suriname","Suriname","M","AMR","Latin America & the Caribbean (MDG=M49)","Latin America & the Caribbean (MDG=M49)","South America (M49)","yes"
"SWZ",748,"1480","Southern Africa","Sub-Saharan Africa","Eswatini","Eswatini","Eswatini","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Southern Africa (M49)","yes"
"SWE",752,"4290","Developed regions","Other","Sweden","Suecia","Suède","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Northern Europe (M49)","yes"
"CHE",756,"4300","Developed regions","Other","Switzerland","Suiza","Suisse","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Western Europe (M49)","yes"
"SYR",760,"3370","Western Asia","Western Asia","Syrian Arab Republic","República Árabe Siria","République arabe syrienne","M","EMR","Western Asia (M49) and Northern Africa (M49)","Western Asia (M49)","Western Asia (M49)","yes"
"TJK",762,"4301","Central Asia","Caucasus and Central Asia","Tajikistan","Tayikistán","Tadjikistan","M","EUR","Central Asia (M49) and Southern Asia (MDG=M49)","Central Asia (M49)","Central Asia (M49)","yes"
"TZA",834,"1546","Eastern Africa","Sub-Saharan Africa","United Republic of Tanzania","República Unida de Tanzanía","République-Unie de Tanzanie","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Eastern Africa (M49)","yes"
"MKD",807,"4195","Transition countries of South-Eastern Europe","Other","North Macedonia","Macedonia del Norte","Macédoine du Nord","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Southern Europe (M49)","yes"
"THA",764,"3380","South-Eastern Asia / Oceania","South-eastern Asia","Thailand","Tailandia","Thaïlande","M","SEAR","Eastern Asia (M49) and South-eastern Asia (MDG=M49)","South-eastern Asia (MDG=M49)","South-eastern Asia (MDG=M49)","yes"
"TLS",626,"3087","South-Eastern Asia / Oceania","South-eastern Asia","Timor-Leste","Timor-Leste","Timor-Leste","M","SEAR","Eastern Asia (M49) and South-eastern Asia (MDG=M49)","South-eastern Asia (MDG=M49)","South-eastern Asia (MDG=M49)","yes"
"TGO",768,"1510","Western Africa","Sub-Saharan Africa","Togo","Togo (el)","Togo","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Western Africa (M49)","yes"
"TON",776,"5200","South-Eastern Asia / Oceania","Oceania","Tonga","Tonga","Tonga","M","WPR","Oceania (MDG) / Oceania (M49) excluding Australia and New Zealand (M49)","Oceania (M49)","Polynesia (M49)","yes"
"TTO",780,"2440","Caribbean","Caribbean","Trinidad and Tobago","Trinidad y Tabago","Trinité-et-Tobago","M","AMR","Latin America & the Caribbean (MDG=M49)","Latin America & the Caribbean (MDG=M49)","Caribbean (M49)","yes"
"TUN",788,"1520","Northern Africa","Northern Africa","Tunisia","Túnez","Tunisie","M","EMR","Western Asia (M49) and Northern Africa (M49)","Northern Africa (M49)","Northern Africa (M49)","yes"
"TUR",792,"3400","Western Asia","Western Asia","Türkiye","Türkiye","Türkiye","M","EUR","Western Asia (M49) and Northern Africa (M49)","Western Asia (M49)","Western Asia (M49)","yes"
"TKM",795,"4302","Central Asia","Caucasus and Central Asia","Turkmenistan","Turkmenistán","Turkménistan","M","EUR","Central Asia (M49) and Southern Asia (MDG=M49)","Central Asia (M49)","Central Asia (M49)","yes"
"TUV",798,"5205","South-Eastern Asia / Oceania","Oceania","Tuvalu","Tuvalu","Tuvalu","M","WPR","Oceania (MDG) / Oceania (M49) excluding Australia and New Zealand (M49)","Oceania (M49)","Polynesia (M49)","yes"
"UGA",800,"1530","Eastern Africa","Sub-Saharan Africa","Uganda","Uganda","Ouganda","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Eastern Africa (M49)","yes"
"UKR",804,"4303","Developed regions","Other","Ukraine","Ucrania","Ukraine","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Eastern Europe (M49)","yes"
"ARE",784,"3405","Western Asia","Western Asia","United Arab Emirates","Emiratos Árabes Unidos","Émirats arabes unis","M","EMR","Western Asia (M49) and Northern Africa (M49)","Western Asia (M49)","Western Asia (M49)","yes"
"GBR",826,"4308","Developed regions","Other","United Kingdom of Great Britain and Northern Ireland","Reino Unido de Gran Bretaña e Irlanda del Norte","Royaume-Uni de Grande-Bretagne et d'Irlande du Nord","M","EUR","Northern America (M49) and Europe (M49)","Europe (M49)","Northern Europe (M49)","yes"
"USA",840,"2450","Developed regions","Other","United States of America","Estados Unidos de América","États-Unis d'Amérique","M","AMR","Northern America (M49) and Europe (M49)","Northern America (M49)","Northern America (M49)","yes"
"URY",858,"2460","South America","Latin America","Uruguay","Uruguay","Uruguay","M","AMR","Latin America & the Caribbean (MDG=M49)","Latin America & the Caribbean (MDG=M49)","South America (M49)","yes"
"UZB",860,"4335","Central Asia","Caucasus and Central Asia","Uzbekistan","Uzbekistán","Ouzbékistan","M","EUR","Central Asia (M49) and Southern Asia (MDG=M49)","Central Asia (M49)","Central Asia (M49)","yes"
"VUT",548,"5207","South-Eastern Asia / Oceania","Oceania","Vanuatu","Vanuatu","Vanuatu","M","WPR","Oceania (MDG) / Oceania (M49) excluding Australia and New Zealand (M49)","Oceania (M49)","Melanesia (M49)","yes"
"VEN",862,"2470","South America","Latin America","Venezuela (Bolivarian Republic of)","Venezuela (República Bolivariana de)","Venezuela (République bolivarienne du)","M","AMR","Latin America & the Caribbean (MDG=M49)","Latin America & the Caribbean (MDG=M49)","South America (M49)","yes"
"VNM",704,"3408","South-Eastern Asia / Oceania","South-eastern Asia","Viet Nam","Viet Nam","Viet Nam","M","WPR","Eastern Asia (M49) and South-eastern Asia (MDG=M49)","South-eastern Asia (MDG=M49)","South-eastern Asia (MDG=M49)","yes"
"YEM",887,"3420","Western Asia","Western Asia","Yemen","Yemen","Yémen","M","EMR","Western Asia (M49) and Northern Africa (M49)","Western Asia (M49)","Western Asia (M49)","yes"
"ZMB",894,"1560","Eastern Africa","Sub-Saharan Africa","Zambia","Zambia","Zambie","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Eastern Africa (M49)","yes"
"ZWE",716,"1570","Eastern Africa","Sub-Saharan Africa","Zimbabwe","Zimbabwe","Zimbabwe","M","AFR","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Eastern Africa (M49)","yes"
