"name_short_en","Total","iso_alpha_3_code","group"
"Yemen",112.438693820163,"YEM","Very high alert & High alert"
"Somalia",110.888959324746,"SOM","Very high alert & High alert"
"South Sudan",110.752190381982,"SSD","Very high alert & High alert"
"Syria",110.749696535933,"SYR","Very high alert & High alert"
"Central African Republic",107.486604672383,"CAF","Very high alert & High alert"
"Chad",106.433820554995,"TCD","Very high alert & High alert"
"Sudan",104.765885172959,"SDN","Very high alert & High alert"
"Afghanistan",102.90118710069,"AFG","Very high alert & High alert"
"Zimbabwe",99.2208568055075,"ZWE","Alert"
"Burundi",97.8760296455767,"BDI","Alert"
"Cameroon",97.855081605719,"CMR","Alert"
"Haiti",97.679,"HTI","Alert"
"Nigeria",97.2675111298435,"NGA","Alert"
"Guinea",97.1676111714642,"GIN","Alert"
"Mali",96.0433129644911,"MLI","Alert"
"Iraq",95.9411697934722,"IRQ","Alert"
"Eritrea",95.8442307280238,"ERI","Alert"
"Niger",95.3148830349445,"NER","Alert"
"Libya",95.1937184923618,"LBY","Alert"
"Ethiopia",94.595776345578,"ETH","Alert"
"Myanmar",94,"MMR","Alert"
"Guinea Bissau",92.9020755085463,"GNB","Alert"
"Uganda",92.7703684743757,"UGA","Alert"
"Pakistan",92.0780930325593,"PAK","Alert"
"Mozambique",91.6937129615074,"MOZ","Alert"
"Venezuela",91.1575912297458,"VEN","Alert"
"Kenya",90.3158699259777,"KEN","Alert"
"Liberia",90.0439005916005,"LBR","Alert"
"Cote d'Ivoire",89.7226736914223,"CIV","High warning"
"Mauritania",88.7424685960315,"MRT","High warning"
"Angola",87.3200390265874,"AGO","High warning"
"Rwanda",86.0295223005178,"RWA","High warning"
"Egypt",86.0061382502918,"EGY","High warning"
"Burkina Faso",85.9285230605081,"BFA","High warning"
"Togo",85.8414311643051,"TGO","High warning"
"Bangladesh",85.7,"BGD","High warning"
"Lebanon",84.7204333391724,"LBN","High warning"
"Zambia",84.4741289119406,"ZMB","High warning"
"Sierra Leone",84.3558025134436,"SLE","High warning"
"Malawi",84.0163608831306,"MWI","High warning"
"Iran",83.3866086520676,"IRN","High warning"
"Equatorial Guinea",83.0162038553854,"GNQ","High warning"
"Swaziland",83,"SWZ","High warning"
"Djibouti",82.7254831216172,"DJI","High warning"
"Timor-Leste",82.6631137750599,"TLS","High warning"
"Nepal",82.5666021463714,"NPL","High warning"
"Papua New Guinea",82.2972904838853,"PNG","High warning"
"Gambia",82.2146395678118,"GMB","High warning"
"Sri Lanka",81.8,"LKA","High warning"
"Comoros",81.2490123256269,"COM","High warning"
"Philippines",81,"PHL","High warning"
"Cambodia",80.308381103848,"KHM","High warning"
"Solomon Islands",79.7452464813753,"SLB","Elevated warning"
"Madagascar",79.530298801715,"MDG","Elevated warning"
"Guatemala",79.1763484383477,"GTM","Elevated warning"
"Turkey",79.1473940038892,"TUR","Elevated warning"
"Lesotho",78.2901153982374,"LSO","Elevated warning"
"Tanzania",78.1441366246648,"TZA","Elevated warning"
"Nicaragua",77.0775115331085,"NIC","Elevated warning"
"Laos",76.8601874502844,"LAO","Elevated warning"
"Honduras",76.7889769960523,"HND","Elevated warning"
"Colombia",76.6141921556809,"COL","Elevated warning"
"Tajikistan",75.5051539167252,"TJK","Elevated warning"
"Jordan",75.4285305294128,"JOR","Elevated warning"
"India",75.3074325844222,"IND","Elevated warning"
"Israel and West Bank",75.1239717239818,"ISR","Elevated warning"
"Bolivia",74.9668695591217,"BOL","Elevated warning"
"Algeria",74.5751829006657,"DZA","Elevated warning"
"Senegal",74.5646477541905,"SEN","Elevated warning"
"Kyrgyz Republic",73.9293635708095,"KGZ","Elevated warning"
"Uzbekistan",73.1038871803098,"UZB","Elevated warning"
"Brazil",72.9941137258823,"BRA","Elevated warning"
"Russia",72.5585831962108,"RUS","Elevated warning"
"Benin",72.5447980853231,"BEN","Elevated warning"
"Azerbaijan",71.2821592080687,"AZE","Elevated warning"
"Micronesia",71.2356300785565,"FSM","Elevated warning"
"Morocco",71.2210519787069,"MAR","Elevated warning"
"Georgia",71.1522951839593,"GEO","Elevated warning"
"Thailand",70.8135797452415,"THA","Elevated warning"
"Sao Tome and Principe",70.2819004646152,"STP","Elevated warning"
"Bosnia and Herzegovina",70.2204062229371,"BIH","Elevated warning"
"South Africa",70.1072430706828,"ZAF","Elevated warning"
"China",69.8587878998335,"CHN","Warning"
"Fiji",69.8521221164862,"FJI","Warning"
"Bhutan",69.5090226296471,"BTN","Warning"
"Ecuador",69.4030345518899,"ECU","Warning"
"Gabon",69.0870013354502,"GAB","Warning"
"Turkmenistan",69.0581419358668,"TKM","Warning"
"Ukraine",69.0070417559918,"UKR","Warning"
"El Salvador",68.8946437116428,"SLV","Warning"
"Saudi Arabia",68.8,"SAU","Warning"
"Tunisia",68.1259130261734,"TUN","Warning"
"Indonesia",67.845504751187,"IDN","Warning"
"Peru",67.6281084827671,"PER","Warning"
"Mexico",67.2,"MEX","Warning"
"Maldives",66.2,"MDV","Warning"
"Serbia",66.1162614378619,"SRB","Warning"
"Moldova",65.9795432773793,"MDV","Warning"
"Guyana",65.9510598534009,"GUY","Warning"
"Belarus",65.7518601013251,"BLR","Warning"
"Paraguay",65.1781942179176,"PRY","Warning"
"Namibia",65.0959152549916,"NAM","Warning"
"Cape Verde",64.7781708998417,"CPV","Warning"
"Dominican Republic",64.3562020493614,"DOM","Warning"
"Armenia",64.2,"ARM","Warning"
"Ghana",64.1581691318241,"GHA","Warning"
"Bahrain",63.8879115350461,"BHR","Warning"
"Vietnam",63.8853972129261,"VNM","Warning"
"Samoa",63.2966485589962,"WSM","Warning"
"Belize",60.7946673818977,"BLZ","Warning"
"Suriname",60.1223068310947,"SUR","Warning"
"Jamaica",60.0249470387031,"JAM","Warning"
"Kazakhstan",59.770101356316,"KAZ","Stable"
"Cuba",59.2277569826416,"CUB","Stable"
"Albania",58.7538108104003,"ALB","Stable"
"Malaysia",57.5618955250914,"MYS","Stable"
"Botswana",57.0712329698799,"BWA","Stable"
"Brunei Darussalam",56.6000275171028,"BRN","Stable"
"Cyprus",56.0579649524949,"CYP","Stable"
"Montenegro",55.4667946840982,"MNE","Stable"
"Grenada",55.2468454635643,"GRD","Stable"
"Seychelles",54.6754977355289,"SYC","Stable"
"Greece",52.1486972202877,"GRC","Stable"
"Antigua and Barbuda",52.062351853605,"ATG","Stable"
"Trinidad and Tobago",51.9451410707907,"TTO","Stable"
"Mongolia",51.9352125218904,"MNG","Stable"
"Kuwait",50.8992741820963,"KWT","Stable"
"Bahamas",49.8685935597567,"BHS","Stable"
"Bulgaria",49.1716548154357,"BGR","Stable"
"Oman",47.9911605693786,"OMN","Stable"
"Hungary",47.6208565769062,"HUN","Stable"
"Romania",46.6546014946823,"ROU","Stable"
"Barbados",46.4072575350091,"BRB","Stable"
"Croatia",46.0945211833464,"HRV","Stable"
"Argentina",46.087950434265,"ARG","Stable"
"Panama",45.9819148884522,"PAN","Stable"
"Qatar",43.7398783490979,"QAT","Stable"
"Chile",42.513526911714,"CHL","Stable"
"Italy",42.3531302488781,"ITA","Stable"
"Latvia",42.3112274614448,"LVA","Stable"
"Poland",41.0287339186999,"POL","Stable"
"Spain",40.3516333562007,"ESP","Stable"
"Costa Rica",40.1840178496758,"CRI","Stable"
"Estonia",38.5234545101871,"EST","Stable"
"United States",38.2727582781865,"USA","Stable"
"United Kingdom",38.2604753610204,"GBR","Stable"
"Slovak Republic",38.2218146037554,"SVK","Stable"
"United Arab Emirates",38.0992251160362,"ARE","Stable"
"Mauritius",37.1847200329928,"MUS","Stable"
"Lithuania",36.470890843369,"LTU","Stable"
"Czech Republic",35.7416161100605,"CZE","Stable"
"Malta",33.5936458020649,"MLT","Stable"
"Uruguay",33.4057773545784,"URY","Stable"
"Japan",32.3322891170283,"JPN","Stable"
"France",30.4811110703238,"FRA","Stable"
"Belgium",27.0981446747844,"BEL","Stable"
"Singapore",26.3261946557654,"SGP","Stable"
"Slovenia",25.8464802243814,"SVN","Stable"
"Austria",24.108703082431,"AUT","Stable"
"Portugal",23.5146633108909,"PRT","Stable"
"Germany",23.1884885188867,"DEU","Stable"
"Netherlands",22.8598351875015,"NLD","Stable"
"Ireland",19.9394168808973,"IRL","Stable"
"Australia",19.7464088575752,"AUS","Stable"
"Luxembourg",18.8492404075067,"LUX","Stable"
"Canada",18.668898507981,"CAN","Stable"
"Sweden",18.2092019498952,"SWE","Stable"
"New Zealand",17.8798962913847,"NZL","Stable"
"Iceland",17.8,"ISL","Stable"
"Denmark",17.2135866795281,"DNK","Stable"
"Switzerland",17.0940857026235,"CHE","Stable"
"Norway",16.1912104870265,"NOR","Stable"
"Finland",14.6266661909166,"FIN","Stable"
